Title,country_clean
"Coin, 1/2 Real",Mexico
"Coin, 1/4 Peso",Mexico
"Coin, 1/4 Peso",Mexico
"Coin, 1/4 Peso",Mexico
"Coin, 1/4 Peso",Mexico
"Coin, 1/4 Peso",Mexico
"Coin, 1/4 Peso",Mexico
"Coin, 1/4 Real",Guatemala
"Coin, 1/4 Real",Guatemala
"Coin, 10 Centavos",Mexico
"Coin, 10 Centavos",Mexico
"Coin, 10 Centavos",Mexico
"Coin, 10 Centavos",Mexico
"Coin, 10 Centavos",Mexico
"Coin, 10 Centavos",Mexico
"Coin, 10 Centavos",Mexico
"Coin, 10 Centavos",Mexico
"Coin, 20 Pesos",Mexico
Bust of Abraham Lincoln,United States of America
Acorn Clock,United States of America
The Adams Vase,United States of America
Side Chair,United States of America
Figure of Admiral George Rodney,United Kingdom
Figure of Admiral Samuel Hood,United Kingdom
Advertisement for Norwich Stone Ware Factory,United States of America
Ale Glass,United States of America
Ale Glass,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,Spain
Andiron,Spain
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Andiron,United States of America
Apothecary Jar,Netherlands
Apothecary Jar,Netherlands
Figure of an Apple,United Kingdom
Figure of an Apple,United Kingdom
Figure of an Apple,United Kingdom
Architectural Elements,United States of America
"Architectural elements from Halsted House, Rye, New York",United States of America
"Architectural Elements from Laurelton Hall, Oyster Bay, New York",United States of America
"Architectural elements from a Retiring Room in the North Family Dwelling American, New Lebanon, New York",United States of America
Argand lamp,United Kingdom
Argand Lamp,United Kingdom
Argand Lamp,United Kingdom
Argand Lamp,United Kingdom
Three-legged Armchair,United Kingdom
Turned Armchair,United States of America
Turned Armchair,United States of America
Banister-back armchair,United States of America
Armchair,United States of America
Slat-back armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Cane armchair,United Kingdom
Armchair,United States of America
Armchair,United States of America
Spindle-back armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Leather armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Turned armchair,United States of America
Armchair,United States of America
Armchair,France
Armchair,United States of America
Spindle-back armchair,United States of America
Turned Armchair,United States of America
Spindle-back armchair,United States of America
Splat-back armchair,United States of America
Armchair,United States of America
Teapot,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Rocking Chair,United States of America
Reclining Armchair,United States of America
Folding Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Folding Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Side chair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Side Chair,United States of America
Side Chair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,Canada
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Square-back armchair,United States of America
Square-back armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Child's Armchair,United States of America
Child's Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Armchair,United States of America
Astral Lamp,United States of America
Astral Lamp,United States of America
Autumn Landscape,United States of America
Aviary,United States of America
Figure of a Baby in a Cradle Holding a Kitten,United States of America
Baby's Bottle,United States of America
Furniture Hardware,United Kingdom
Furniture Hardware,United Kingdom
Furniture Hardware,United Kingdom
Furniture Hardware,United Kingdom
Furniture Hardware,United Kingdom
Furniture Hardware,United Kingdom
Furniture Hardware,United Kingdom
Furniture Hardware,United Kingdom
Furniture Hardware,United Kingdom
Furniture Hardware,United Kingdom
Furniture Hardware,United Kingdom
Badge of the Cincinnati Medal,France
Baking Dish,United States of America
Balcony,United States of America
Ball,United States of America
Ball,United States of America
"Panel from the Ballroom at Gadsby's Tavern, Alexandria, Virginia",United States of America
"Baluster from the Carson, Pirie, Scott Company, Chicago",United States of America
"Baluster from the Carson, Pirie, Scott Company, Chicago",United States of America
"Baluster from the Carson, Pirie, Scott Company, Chicago",United States of America
"Baluster from the Carson, Pirie, Scott Company, Chicago",United States of America
"Baluster from the Chicago Stock Exchange Building, Chicago",United States of America
"Baluster from the Chicago Stock Exchange Building, Chicago",United States of America
"Baluster from the Guaranty Building, Buffalo, New York",United States of America
Baluster Vase,China
Baluster Vase,China
Baluster Vase,China
Banjo clock,United States of America
Banjo Clock,United States of America
Banjo Clock,United States of America
Bank,United States of America
Baptismal Basin,Mexico
Baptismal Bowl,United States of America
Furniture Hardware,United Kingdom
Furniture Hardware,United Kingdom
Bar Bottle,United States of America
Barrel Mug,United States of America
Barrel Mug,United States of America
Basin,Mexico
Basin,United States of America
Basin,China
Basin,United States of America
Basin,United States of America
Basin,United States of America
Basin,United States of America
Wash basin,United States of America
Basin,United States of America
Basin,United States of America
Basin,United States of America
Basin,United States of America
Basin,United States of America
Basin,United States of America
Basin,United States of America
Basin,United States of America
Basin,United States of America
Basin,United States of America
Basin,United Kingdom
Basin,United Kingdom
Basin,United States of America
Basin Stand,United States of America
Basin Stand,United States of America
Basin stand,United States of America
Basin Stand,United States of America
Basket,United Kingdom
Basket,United States of America
Basket,United States of America
Basket,United States of America
Basket,United States of America
Basket,United States of America
Basket,United States of America
Basket,United Kingdom
Basket,United Kingdom
"Batten Door from the Williams House, near Preston, Connecticut",United States of America
"Batten Door from the Williams House, near Preston, Connecticut",United States of America
Beaker,United States of America
Pulque Beaker,Spain
Beaker,United Kingdom
Beaker,United Kingdom
Beaker,Canada
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Tumbler,France
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
