count,count
Egypt,33416
United States of America,9944
Iran,6807
Peru,3429
France,2173
Mexico,1572
India,1566
United Kingdom,1454
Indonesia,1442
Turkey,959
China,950
Germany,940
Papua New Guinea,883
Nigeria,656
Italy,585
Syria,544
Congo,534
Iraq,462
Spain,443
Canada,402
Mali,391
Colombia,369
Côte d'Ivoire,347
Cameroon,252
Costa Rica,252
Japan,246
Bolivia,218
Morocco,215
Ecuador,182
Netherlands,164
Ghana,153
Uzbekistan,147
Saudi Arabia,145
Austria,139
Afghanistan,138
Philippines,122
Guatemala,120
Republic of Benin,119
Czechia,110
Burkina Faso,109
Panama,109
Algeria,102
Palestine,97
Russia,95
Nubia,90
Australia,88
Gabon,85
Solomon Islands,70
Myanmar,67
Thailand,67
Vanuatu,66
Malaysia,64
Switzerland,63
Africa,63
Liberia,58
Greece,53
Ethiopia,51
Fiji,49
Brazil,47
Belgium,46
Dominican Republic,45
Angola,43
Tunisia,38
Tibet,37
Tanzania,36
Sierra Leone,36
Korea,36
New Zealand,34
Pakista,33
Madagascar,31
Hungary,31
Togo,30
Azerbaijan,29
Kenya,27
Asia,26
Chile,25
Guya,25
New Caledonia,24
Ireland,22
Turkmenista,22
Senegal,22
Croatia,22
Guinea,21
Armenia,20
Ukraine,20
Yemen,19
Norway,19
Portugal,18
Uganda,18
Nauru,18
Argentina,17
Republic of Congo,16
Nepal,16
Scotland,15
Sudan,15
Islamic lands,15
Gaul,14
Niger,13
New Guinea,13
Samoa,12
Marquesas Islands,12
Paraguay,11
Tonga,11
Republic of the Congo,11
Marshall Islands,11
Bulgaria,11
Cuba,10
Taiwan,10
Suriname,9
Zambia,9
Benin,9
Bangladesh,9
Sweden,9
Finland,8
Rwanda,8
Guinea-Bissau,8
French Polynesia,8
Zimbabwe,8
Europe,8
Mozambique,8
Mongolia,8
Poland,7
Norfolk Island,7
Venezuela,6
Georgia,6
U.S.A,6
Niederbreisig,6
Macedonia,6
Canaa,6
Balkans,5
African Republic,5
Unknown country,5
Cook Islands,5
Kiribati,5
Timor-Leste,5
Nicaragua,5
Unknow,5
Cyprus,5
Israel,5
Scandinavia,5
Serbia,5
Cambodia,5
Honduras,4
Palau,4
Federated States of Micronesia,4
Vietnam,4
Greenland,4
Central,4
French,4
Carpathian Basin regio,4
former Yugoslavia,4
Sarawak,4
Flanders,3
Tahiti,3
Chad,3
Somalia,3
El Salvador,3
Bosnia,3
Albania,3
Turkmenistan,3
Central Turkey,3
Germa,3
Black Sea,3
Netherland,3
Sumatra,3
Mauritania,3
Republic of  Cameroo,3
Bermuda,2
from the Balkans,2
French Guia,2
Puerto Rico,2
Mangareva,2
Wallis and Futuna Territory,2
Malawi,2
Laos,2
Islamic Lands,2
Tunesia,2
Northern,2
Rhei,2
Italia,2
Netherlandish,2
UK,2
Romania,2
Sulawesi,2
S. Mali,2
Flemish,2
Bhutan,2
Denmark,2
Martinique,2
"Lisez et propagez nos Annales: ""L'Immacul‚e""",1
Kuwait,1
Java,1
from Albania,1
South Suda,1
Namibia,1
Zanzibar,1
Sri Lanka,1
present-day Israel,1
Lebano,1
Jazira,1
Jorda,1
Sothern Turkmenista,1
islamic lands,1
Modern cast of 39.40.39a,1
Nicomedia,1
Tira,1
Sicily,1
Adriatic,1
Mediterranea,1
central France,1
Russian,1
La Tène II,1
Gotland,1
the Iberian peninsula,1
Iberian Peninsula,1
nothern Spain,1
Byzantium,1
Brussels,1
north,1
Rome,1
Europea,1
Lake Van region,1
Constantinople,1
British Isles,1
Haute Garonne,1
Crete,1
Russia Federatio,1
Russian Federatio,1
Montenegro?  Yugoslavia,1
Arabian Peninsula,1
Syria?  Saudia Arabia,1
Senegambia,1
Slovakia,1
Friesland,1
Italian,1
Liberia-Côte d'Ivoire border,1
Bosnia and Herzegovina,1
Montenegro,1
Malta,1
Lesotho,1
Tajikista,1
Czechoslovakia,1
Trinidad and Tobago,1
Kosova,1
Uganda-Suda,1
Slovenia,1
Philippine Islands,1
Herzegovina,1
Bosnia - Herzegovina,1
Pakistan,1
Caucasus,1
New Spain,1
Kirghizta,1
Uruguay,1
