Donor_Raw,country_clean,count
Gift of George F. Baker,Egypt,927
Gift of George F. Baker,Iran,6
Gift of George F. Baker,Iraq,4
Gift of George F. Baker,Syria,2
Gift of George F. Baker,Spain,1
Gift of George F. Baker,Yemen,1
Gift of Helen Miller Gould,Egypt,2545
Gift of Helen Miller Gould,Palestine,4
Gift of Helen Miller Gould,Iraq,2
Gift of Helen Miller Gould,Canaa,1
Gift of Helen Miller Gould,Iran,1
Gift of Helen Miller Gould,Syria,1
Gift of J. Pierpont Morgan,Egypt,635
Gift of J. Pierpont Morgan,France,333
Gift of J. Pierpont Morgan,Germany,245
Gift of J. Pierpont Morgan,Spain,36
Gift of J. Pierpont Morgan,Italy,30
Gift of J. Pierpont Morgan,Netherlands,18
Gift of J. Pierpont Morgan,Ukraine,16
Gift of J. Pierpont Morgan,Syria,14
Gift of J. Pierpont Morgan,Iran,11
Gift of J. Pierpont Morgan,Turkey,11
Gift of J. Pierpont Morgan,Gaul,9
Gift of J. Pierpont Morgan,United Kingdom,9
Gift of J. Pierpont Morgan,India,6
Gift of J. Pierpont Morgan,Niederbreisig,6
Gift of J. Pierpont Morgan,Flanders,3
Gift of J. Pierpont Morgan,Pakista,2
Gift of J. Pierpont Morgan,Rhei,2
Gift of J. Pierpont Morgan,Switzerland,2
Gift of J. Pierpont Morgan,Adriatic,1
Gift of J. Pierpont Morgan,Africa,1
Gift of J. Pierpont Morgan,Albania,1
Gift of J. Pierpont Morgan,Austria,1
Gift of J. Pierpont Morgan,Canaa,1
Gift of J. Pierpont Morgan,Colombia,1
Gift of J. Pierpont Morgan,French,1
Gift of J. Pierpont Morgan,Iraq,1
Gift of J. Pierpont Morgan,La Tène II,1
Gift of J. Pierpont Morgan,Mediterranea,1
Gift of J. Pierpont Morgan,Norway,1
Gift of J. Pierpont Morgan,Russian,1
Gift of J. Pierpont Morgan,Sicily,1
Gift of J. Pierpont Morgan,Sweden,1
Gift of J. Pierpont Morgan,Tira,1
Gift of J. Pierpont Morgan,United States of America,1
Gift of J. Pierpont Morgan,central France,1
"Purchase, Edward S. Harkness Gift",Egypt,1459
Rogers Fund,Egypt,14866
Rogers Fund,Iran,4680
Rogers Fund,United States of America,658
Rogers Fund,Iraq,331
Rogers Fund,Syria,210
Rogers Fund,India,160
Rogers Fund,Turkey,115
Rogers Fund,United Kingdom,115
Rogers Fund,Peru,93
Rogers Fund,Italy,70
Rogers Fund,Spain,65
Rogers Fund,Indonesia,64
Rogers Fund,France,48
Rogers Fund,Uzbekistan,48
Rogers Fund,China,42
Rogers Fund,Nubia,36
Rogers Fund,Germany,35
