Donor_Raw,Egypt,France,India,Indonesia,Iran,Mexico,Other,Peru,Turkey,United Kingdom,United States of America
Gift of George F. Baker,927,0,0,0,6,0,8,0,0,0,0
Gift of Helen Miller Gould,2545,0,0,0,1,0,8,0,0,0,0
Gift of J. Pierpont Morgan,635,333,6,0,11,0,399,0,11,9,1
"Purchase, Edward S. Harkness Gift",1459,0,0,0,0,0,0,0,0,0,0
Rogers Fund,14866,48,160,64,4680,13,1091,93,115,115,658
Rogers Fund and Edward S. Harkness Gift,3183,0,0,0,0,0,0,0,0,0,0
The Cloisters Collection,2,565,0,0,0,0,422,0,0,38,0
The Crosby Brown Collection of Musical Instruments,42,232,154,52,46,114,1747,32,49,80,312
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",0,0,1,37,0,203,917,419,0,0,89
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",945,1,30,0,47,0,28,0,17,0,0
